,word,count
1366,award,59652161
1369,peter,59541743
1377,extra,59377307
1380,pussy,59206591
1383,rated,59102029
1390,quite,58777731
1400,horse,58453720
1404,stars,58352743
1406,lists,58249254
1408,owner,58189056
1421,takes,57784233
1424,bring,57608074
1437,input,57191675
1440,agent,57103658
1441,valid,57094711
1449,grand,56599468
1451,trial,56547673
1453,units,56512308
1458,wrote,56421594
1460,ships,56365355
1465,metal,56181783
1477,funds,55721876
1489,guest,55293215
1490,seems,55276661
1494,trust,55157142
1498,multi,55131463
1517,grade,54275130
1531,panel,53784382
1532,floor,53759851
1535,match,53532481
1548,plant,53247607
1567,sense,52629633
1571,stage,52518330
1573,goods,52507183
1589,maybe,51895609
1599,spain,51553238
1606,youth,51426255
1617,break,51242970
1621,dance,51147967
1642,apple,50551171
1649,enjoy,50141455
1661,block,49694725
1667,civil,49495349
1668,steel,49452604
1670,songs,49272598
1671,fixed,49215402
1672,wrong,49156828
1674,hands,49087727
1681,paris,48831449
1690,fully,48616832
1707,worth,48075237
1719,peace,47856201
1725,coast,47716394
1731,grant,47609624
1733,agree,47500911
1748,blogs,46978262
1776,scale,46307526
1777,stand,46292709
1783,frame,46079991
1792,chief,45699591
1793,gives,45649146
1803,heard,45436523
1804,begin,45434902
1807,royal,45407189
1808,clean,45381752
1819,bible,45080741
1830,suite,44829675
1831,vegas,44810653
1834,chris,44754518
1851,piece,44298807
1852,sheet,44295187
1854,seven,44224906
1855,older,44222089
1861,cells,44128080
1871,looks,43897035
1879,calls,43661633
1880,whose,43634263
1894,naked,43110969
1910,lives,42750046
1921,stone,42494931
1931,tests,42336117
1945,buyer,42024703
1947,steve,41997245
1970,label,41359857
1972,scott,41326573
1976,canon,41144763
1979,waste,41089558
1989,chair,40764005
1992,phase,40722940
1998,motor,40615655
2003,shirt,40501964
2009,crime,40361756
2010,count,40345803
2021,claim,40085342
2025,patch,39999745
2043,santa,39664896
2053,alone,39326417
2056,jones,39297134
2073,saint,38929141
2080,drugs,38827156
2081,joint,38827057
2084,fresh,38781893
2101,dates,38442243
2104,upper,38341510
2107,prime,38308402
2109,limit,38290292
2110,began,38269468
2111,louis,38259201
2112,steps,38254292
2114,shops,38241315
2122,creek,38159464
2126,urban,38087999
2132,tours,37957036
2136,labor,37866418
2138,admin,37835381
2144,heavy,37668153
2158,solid,37426444
2167,theme,37219937
2183,porno,36925475
2191,touch,36831035
2195,goals,36766773
2201,serve,36697856
2204,magic,36676771
2205,mount,36648260
2206,smart,36636558
2210,latin,36548259
2214,avoid,36508203
2222,birth,36286070
2223,virus,36286003
2224,abuse,36269685
2235,facts,36041603
2240,faith,35936559
2241,chain,35928367
2251,moved,35713495
2253,reach,35687918
2262,sorry,35595812
2270,gamma,35426622
2275,truth,35345925
2287,films,35200065
2295,owned,35050234
2297,draft,35033621
2298,chart,35027490
2302,jesus,34929061
2304,clubs,34881779
2308,equal,34832354
2332,codes,34503537
2333,kinds,34482138
2339,teams,34383288
2346,funny,34281806
2351,tried,34201786
2360,named,34099544
2362,laser,34080740
2372,harry,33867934
2380,taxes,33674672
2381,mouse,33667003
2385,brain,33612784
2389,dream,33518573
2391,false,33476460
2400,falls,33213513
2407,stats,33096627
2411,carry,33056477
2419,hello,32960381
2426,clips,32846497
2435,brief,32599674
2436,ended,32588866
2438,eight,32567724
2444,wants,32538214
2449,alert,32472727
2459,queen,32366847
2465,sweet,32311923
2471,diego,32238555
2476,truck,32136249
2484,votes,32059663
2493,ocean,31928741
2496,signs,31899467
2498,depth,31879926
2504,train,31816971
2520,feeds,31593736
2531,route,31439231
2536,frank,31392284
2542,anime,31334688
2543,speak,31324712
2547,query,31284313
2560,rural,30998929
2566,judge,30905832
2570,bytes,30848384
2574,fight,30784313
2580,filed,30718907
2595,korea,30582894
2596,banks,30582183
2602,kelly,30510238
2603,leads,30507300
2639,brian,30060564
2655,miami,29904805
2668,wales,29821525
2672,minor,29782623
2676,noted,29754565
2682,spent,29719451
2686,davis,29689352
2694,helps,29607993
2697,cycle,29585286
2704,sleep,29491537
2711,scene,29372413
2723,drink,29254937
2744,intel,28995654
2762,rings,28827859
2769,henry,28769085
2772,guess,28743465
2799,ahead,28375319
2810,devel,28152649
2822,delta,28051872
2837,cisco,27894293
2840,alpha,27832836
2843,bonus,27819488
2854,adobe,27538755
2863,trees,27378116
2867,dress,27318959
2883,refer,27099706
2890,babes,27016030
2898,layer,26912270
2918,spend,26713310
2928,clock,26624872
2943,ratio,26457942
2956,proof,26305059
2963,empty,26206017
2973,maine,26049821
2978,ideal,26036289
2979,specs,26029159
2984,parks,25974927
2989,cream,25898758
2998,boxes,25787744
3000,hills,25770218
3009,aware,25700328
3011,shape,25675227
3013,irish,25658075
3023,firms,25497302
3030,usage,25440406
3035,mixed,25395056
3041,exist,25349128
3042,wheel,25342937
3051,angel,25294123
3059,width,25182453
3060,noise,25171520
3063,array,25150016
3073,greek,25059132
3090,sharp,24904199
3109,occur,24679212
3111,knows,24640096
3125,coach,24514961
3126,kevin,24511652
3156,plate,24275560
3197,logic,23989892
3224,sizes,23751367
3225,plain,23747230
3234,costa,23702154
3241,trail,23648838
3246,buddy,23611087
3250,setup,23534848
3265,blues,23387172
3269,scope,23349420
3303,crazy,23032837
3319,bears,22926868
3326,mouth,22880351
3328,meter,22874915
3341,fruit,22767191
3350,mysql,22703527
3360,lewis,22640158
3382,sugar,22450333
3386,stick,22399126
3388,allen,22368068
3392,genre,22344091
3393,slide,22339084
3401,exact,22304937
3402,bound,22303643
3412,storm,22242164
3413,micro,22219932
3430,dolls,22065047
3444,paint,21926890
3445,delay,21911190
3446,pilot,21909830
3451,czech,21849930
3455,novel,21821189
3460,ultra,21795075
3462,idaho,21791957
3469,plays,21753930
3477,truly,21693553
3495,lodge,21541130
3505,boobs,21461250
3515,broad,21370126
3522,swiss,21324437
3523,sarah,21321998
3524,clark,21305891
3538,foods,21150689
3540,guard,21137924
3549,newly,21102330
3550,raise,21099943
3569,drama,20939845
3577,bands,20842378
3583,lunch,20807419
3584,dildo,20789655
3585,audit,20786243
3596,polls,20694349
3598,tower,20686918
3599,yours,20672809
3610,jason,20616747
3615,shell,20599318
3632,solar,20423792
3634,catch,20400979
3642,doubt,20311261
3648,tasks,20273373
3654,const,20236664
3656,doors,20229491
3663,forth,20149609
3682,bruce,19999866
3683,split,19998411
3690,twice,19945569
3693,egypt,19926686
3710,shift,19811555
3718,simon,19757457
3720,marks,19747824
3722,loved,19719299
3727,birds,19693729
3735,saved,19635976
3738,shots,19611119
3740,moore,19585613
3757,treat,19442315
3762,piano,19419956
3785,risks,19205769
3794,ports,19171802
3805,teach,19079783
3808,rapid,19070672
3810,hairy,19060619
3824,dutch,19000979
3830,boots,18968708
3831,holds,18963546
3842,pulse,18893735
3857,metro,18738665
3861,strip,18711440
3863,pearl,18707334
3898,penis,18478169
3916,heads,18400524
3919,logos,18366230
3922,milfs,18358745
3940,honda,18261029
3943,bills,18248816
3947,opera,18225169
3953,asset,18178753
3960,blank,18150537
3970,humor,18085495
3974,lived,18050710
3985,tight,17981854
4004,meant,17832930
4009,plane,17799728
4020,meets,17760399
4038,tampa,17654589
4042,grace,17642126
4043,susan,17638870
4046,adams,17620255
4051,villa,17587586
4061,inner,17552078
4077,roman,17431193
4102,taste,17311343
4112,trips,17273017
4114,sides,17269191
4116,turns,17261850
4119,cache,17250923
4127,lease,17180592
4131,proud,17167504
4139,giant,17098874
4144,seats,17070818
4147,alarm,17059844
4151,usual,17044981
4156,angle,17016075
4158,vinyl,17009819
4164,worst,16975343
4192,honor,16787246
4195,eagle,16785232
4197,pants,16774383
4199,nurse,16772151
4204,quiet,16746894
4213,comic,16695850
4218,crown,16651038
4222,maker,16635947
4223,crack,16633701
4225,picks,16627992
4235,smoke,16567733
4240,craft,16528294
4243,apart,16507181
4245,blind,16485480
4250,coins,16449733
4252,gross,16440590
4272,epson,16344475
4287,actor,16282891
4288,finds,16280898
4291,fifth,16255266
4299,prize,16204739
4327,dirty,16101662
4329,wayne,16090093
4336,alive,16064787
4339,prove,16046788
4341,wings,16044458
4351,ridge,15993437
4353,modem,15984492
4376,larry,15900632
4390,skill,15835076
4397,moves,15789001
4403,throw,15751985
4404,trend,15747018
4412,rhode,15717565
4414,busty,15705827
4422,worse,15677739
4438,boats,15600762
4448,tells,15534490
4450,fiber,15530318
4452,graph,15526746
4457,talks,15484166
4470,bonds,15431252
4479,fraud,15378751
4487,roger,15353411
4497,crash,15302627
4500,inter,15269346
4510,grove,15189493
4520,spray,15148133
4532,roads,15093621
4547,faces,15050854
4549,cocks,15043799
4551,mayor,15030847
4556,yield,15022494
4566,hence,14992334
4570,radar,14982375
4578,lakes,14947463
4585,diary,14922472
4587,kings,14914273
4593,flags,14870655
4595,baker,14862470
4601,shock,14850388
4603,walls,14837851
4605,ebony,14831025
4608,drawn,14827380
4618,beast,14787561
4625,dodge,14768509
4628,pizza,14763787
4630,yards,14733347
4649,woods,14647735
4660,jokes,14622894
4665,twiki,14601448
4675,globe,14554904
4685,dicke,14514973
4686,kerry,14514771
4691,ghost,14490042
4699,pride,14428078
4706,keith,14391094
4709,linda,14380554
4712,chile,14372798
4719,maria,14347893
4730,brass,14298573
4732,plaza,14274314
4736,quest,14258533
4742,trans,14243681
4749,booty,14218854
4753,acres,14208905
4754,venue,14204074
4759,vital,14166642
4769,excel,14133468
4770,modes,14131325
4783,enemy,14084182
4787,wells,14073676
4789,opens,14070477
4796,lucky,14053901
4799,thick,14030556
4810,iraqi,13999381
4812,vista,13991160
4814,chips,13982676
4815,terry,13981773
4816,flood,13979267
4822,arena,13966572
4833,grown,13931521
4839,jerry,13908229
4841,smile,13893537
4842,lands,13891179
4847,armed,13866785
4862,laura,13801282
4864,tokyo,13793165
4866,nikon,13789510
4869,candy,13772033
4870,pills,13767091
4871,tiger,13763074
4873,folks,13760930
4890,balls,13683840
4893,boost,13675076
4901,icons,13649671
4903,moral,13643598
4908,keeps,13624468
4909,pound,13620117
4916,roses,13584758
4919,bread,13575360
4923,tough,13560922
4926,gonna,13542156
4934,chest,13516414
4936,billy,13515249
4944,craig,13480763
4952,solve,13452150
4969,nancy,13381057
4971,tones,13373535
4975,sight,13360499
4983,towns,13337599
5004,worry,13243591
5023,reads,13174104
5024,roles,13171507
5030,glory,13158826
5043,saudi,13123149
5044,fault,13112664
5056,karen,13067717
5064,jimmy,13030009
5076,rugby,12992179
5085,fluid,12943336
5103,barry,12921548
5116,devil,12869511
5117,grass,12868953
5119,marie,12862466
5128,kenya,12839981
5147,sized,12775596
5148,manga,12774174
5159,theft,12744763
5161,swing,12734467
5170,dated,12707511
5174,shoot,12695618
5181,elite,12673836
5187,poems,12662561
5190,robot,12656312
5198,winds,12628386
5207,gnome,12609820
5208,roots,12609370
5213,noble,12604679
5220,shore,12568485
5221,loves,12566621
5226,loose,12556710
5264,slots,12452126
5271,rocks,12427428
5278,genes,12396954
5288,horny,12363955
5327,hosts,12228736
5331,atlas,12221120
5336,feels,12212683
5347,ralph,12190683
5359,corps,12150135
5361,liver,12139363
5380,decor,12098868
5382,texts,12095723
5399,evans,12020970
5402,fails,12015364
5403,aging,12014007
5413,alice,11994061
5430,intro,11938092
5435,clerk,11923960
5438,mills,11910667
5444,jeans,11896655
5448,fonts,11884559
5454,favor,11867822
5458,sigma,11864409
5461,xhtml,11856704
5483,aside,11768649
5489,essay,11750312
5497,camps,11712039
5500,aaron,11698784
5502,trace,11697252
5506,packs,11683277
5542,spoke,11577917
5544,arrow,11563142
5547,rough,11557184
5548,weird,11556427
5553,holes,11529280
5555,blade,11527988
5559,meals,11515834
5591,robin,11423944
5594,strap,11414669
5597,crowd,11409218
5620,cloud,11337220
5623,valve,11325360
5630,knife,11297715
5633,shelf,11287023
5636,liked,11282738
5638,adopt,11272339
5640,fotos,11264350
5646,outer,11245167
5653,tales,11222332
5656,islam,11214742
5657,nodes,11208722
5661,seeds,11196921
5662,cited,11195944
5668,skype,11188286
5677,tired,11158233
5683,steam,11141309
5689,acute,11128841
5692,stood,11116275
5696,carol,11109404
5701,stack,11090579
5713,curve,11071177
5715,amber,11065507
5724,trunk,11020361
5734,waves,11006010
5735,camel,11005001
5737,lamps,11000656
5750,juice,10973425
5751,chase,10971945
5754,sauce,10968629
5814,beads,10825324
5825,flows,10797166
5830,fewer,10792786
5836,proxy,10773043
5839,lanka,10765788
5851,voted,10746027
5853,bikes,10740880
5854,gates,10734618
5873,slave,10692715
5886,lycos,10665969
5888,zdnet,10661625
5924,combo,10592758
5931,haven,10569212
5937,charm,10554644
5942,basin,10544774
5945,ranch,10539650
5951,drunk,10519219
5957,toner,10508427
5959,latex,10502825
5963,delhi,10491603
5965,alien,10490554
5971,broke,10460811
5972,nepal,10459583
5991,nylon,10410171
5993,discs,10404995
5994,rocky,10404321
6012,fleet,10364423
6014,bunch,10355431
6037,cents,10301064
6044,omega,10289113
6047,civic,10283668
6055,saver,10258158
6057,grill,10254124
6062,grain,10244623
6066,wanna,10232302
6097,seeks,10174194
6109,gains,10137566
6123,spots,10109662
6134,salon,10079006
6139,turbo,10058686
6149,thats,10034213
6155,aimed,10030370
6163,reset,10021033
6164,brush,10018684
6172,spare,10009522
6175,kodak,10005470
6184,skirt,9981485
6187,honey,9978043
6200,gauge,9952466
6205,faced,9938155
6218,sixth,9920054
6226,farms,9908537
6229,cheat,9903572
6232,sandy,9897487
6237,macro,9885853
6262,laugh,9822471
6267,pitch,9800556
6268,autos,9798008
6271,perry,9785838
6275,dozen,9776227
6278,teeth,9769437
6279,cloth,9764137
6282,stamp,9760468
6283,lotus,9759485
6288,cargo,9748668
6292,salem,9735569
6297,likes,9727733
6304,tapes,9719559
6305,zones,9719114
6306,races,9715279
6310,maple,9704551
6316,depot,9688338
6321,blend,9680982
6324,julie,9674906
6333,janet,9666108
6339,phpbb,9649545
6342,probe,9643801
6353,helen,9600641
6357,lopez,9593132
6364,debug,9581095
6366,chuck,9574825
6373,ebook,9558308
6386,bingo,9539002
6395,minds,9529696
6400,xanax,9510471
6405,sunny,9497382
6412,leeds,9491065
6415,cedar,9484993
6429,blair,9463587
6430,hopes,9462715
6433,mason,9461838
6435,burns,9460104
6436,pumps,9456489
6445,mario,9447559
6449,utils,9440361
6456,pairs,9432115
6468,chose,9409845
6476,blast,9387171
6513,tommy,9327874
6516,brake,9321885
6521,congo,9310976
6527,olive,9298184
6530,cyber,9289150
6535,clone,9284578
6536,dicks,9280692
6539,relay,9275052
6541,tears,9274206
6543,oasis,9270498
6546,angry,9267505
6556,lover,9234545
6565,rolls,9220414
6570,malta,9212218
6571,daddy,9211193
6573,ferry,9208954
6585,omaha,9193841
6593,loads,9175948
6597,motel,9170238
6608,rally,9155530
6627,dying,9123557
6629,stuck,9120620
6632,stops,9118589
6651,vocal,9082826
6653,organ,9077449
6658,lemon,9066930
6659,toxic,9065369
6698,bench,8992211
6701,rider,8987802
6712,butts,8968856
6714,bobby,8964342
6716,sheep,8962638
6722,wines,8939582
6736,salad,8923706
6743,paste,8913055
6772,katie,8878399
6780,relax,8856944
6791,sword,8835685
6794,sells,8827377
6800,coral,8818272
6801,pixel,8813200
6802,float,8808655
6803,colin,8807299
6806,paths,8806073
6814,acids,8793940
6819,dairy,8781961
6820,admit,8780656
6822,fancy,8777135
6824,samoa,8775146
6838,squad,8744772
6845,wages,8737438
6854,males,8708016
6865,chaos,8690268
6868,wheat,8685589
6881,bases,8663363
6886,unity,8657709
6889,bride,8650665
6895,begun,8636352
6900,socks,8632058
6909,essex,8617835
6934,fever,8582665
6950,drums,8560748
6964,rover,8537021
6970,flame,8527495
6972,tanks,8526525
6985,spell,8506049
6991,emily,8497262
7007,annex,8465905
7018,sudan,8447525
7029,sluts,8430809
7050,hints,8393784
7063,wired,8371548
7064,elvis,8369987
7079,argue,8353605
7086,arise,8337093
7091,jamie,8330541
7109,bitch,8302447
7112,chess,8293823
7117,oscar,8285553
7119,menus,8283476
7124,canal,8278196
7125,amino,8273641
7128,herbs,8271850
7136,lying,8260845
7142,drill,8248787
7145,bryan,8247764
7151,hobby,8237250
7152,tries,8236889
7166,trick,8208473
7184,myers,8188797
7185,drops,8187657
7187,wider,8186703
7194,screw,8177263
7198,blame,8170544
7217,fifty,8133138
7223,uncle,8127694
7234,jacob,8114034
7236,randy,8110369
7243,brick,8094369
7245,naval,8091649
7265,donna,8058734
7269,cabin,8052267
7283,eddie,8038567
7285,fired,8031937
7291,perth,8020600
7295,syria,8013914
7297,klein,8009252
7299,tires,8007166
7304,retro,8000179
7313,anger,7991036
7317,suits,7986526
7325,glenn,7963817
7344,handy,7936655
7347,crops,7931319
7356,guild,7923630
7373,tribe,7890695
7409,batch,7835050
7412,alter,7831337
7415,ghana,7826979
7416,edges,7826115
7429,twins,7815027
7435,amend,7806844
7449,chick,7771502
7460,thong,7747699
7461,medal,7747036
7466,walks,7744070
7467,sucks,7743126
7478,booth,7723310
7479,indie,7722085
7482,bones,7717501
7483,breed,7716901
7486,polar,7715471
7492,msgid,7711057
7507,carey,7679924
7513,danny,7664864
7537,patio,7627536
7542,lloyd,7624316
7555,beans,7607524
7557,ellis,7607078
7559,snake,7606395
7591,julia,7556335
7595,berry,7551906
7623,ought,7523238
7632,fixes,7513516
7633,sends,7512707
7635,mazda,7509120
7650,timer,7488669
7655,tyler,7474964
7658,verse,7469512
7659,highs,7468394
7673,ellen,7450956
7680,racks,7436380
7682,nasty,7434847
7687,tumor,7430480
7694,watts,7423674
7702,forty,7415064
7703,tubes,7413309
7708,floyd,7401451
7711,queue,7398569
7728,skins,7370612
7734,exams,7364984
7747,welsh,7346867
7748,belly,7346354
7757,haiti,7332685
7783,elder,7299470
7784,sonic,7298920
7798,thumb,7284386
7834,twist,7240854
7844,ranks,7222499
7846,debut,7220643
7890,volvo,7162635
7891,penny,7162062
7908,ivory,7146685
7915,remix,7132676
7916,alias,7132147
7921,newer,7122879
7924,spice,7120274
7937,ascii,7108409
7943,donor,7096675
7948,trash,7092806
7954,manor,7084688
7956,diane,7081367
7964,disco,7067687
7968,endif,7063258
7995,minus,7025364
8020,milan,6999311
8024,shade,6996835
8028,digit,6991045
8037,lions,6980244
8040,pools,6977605
8042,lyric,6970278
8064,grave,6929008
8083,howto,6907401
8094,devon,6896016
8097,saves,6892635
8105,lobby,6887477
8113,punch,6872844
8116,gotta,6870320
8121,karma,6862407
8123,betty,6858121
8129,lucas,6855976
8143,mardi,6842238
8149,shake,6839319
8152,holly,6834032
8154,silly,6833654
8157,mercy,6831149
8174,fence,6796605
8177,diana,6795021
8183,shame,6785296
8191,fatal,6779744
8204,flesh,6768724
8223,jesse,6744751
8261,qatar,6695603
8268,sheer,6684477
8283,witch,6671560
8289,cohen,6665722
8292,puppy,6662287
8293,kathy,6661457
8313,smell,6642666
8333,satin,6620674
8338,promo,6616863
8343,tunes,6610108
8372,lucia,6571033
8376,nerve,6567418
8382,renew,6561081
8406,locks,6536771
8413,euros,6533754
8419,rebel,6527810
8423,hired,6526426
8443,hindu,6505867
8461,kills,6484339
8478,slope,6469975
8485,nails,6463889
8487,whats,6462263
8488,rides,6461201
8489,rehab,6460331
8499,merit,6450895
8506,disks,6445126
8507,condo,6444848
8520,fairy,6435300
8523,shaft,6431372
8530,casio,6423721
8535,kitty,6414935
8538,drain,6411642
8539,monte,6411384
8540,fires,6407259
8549,panic,6396440
8552,leone,6393163
8559,onion,6384730
8579,beats,6367861
8580,merry,6367037
8582,scuba,6366349
8595,verde,6352373
8617,dried,6331606
8630,derby,6319608
8670,annie,6267924
8673,derek,6266654
8682,steal,6257493
8690,fears,6244239
8695,tuner,6238319
8705,alike,6220739
8724,sagem,6195840
8743,scout,6176157
8746,dealt,6174968
8754,bucks,6165133
8767,badge,6145138
8768,wrist,6143580
8772,heath,6139151
8775,lexus,6134590
8787,realm,6122762
8789,jenny,6118544
8794,yemen,6111610
8802,buses,6101027
8821,rouge,6084449
8822,yeast,6083904
8840,kenny,6065528
8845,yukon,6061476
8856,singh,6049797
8862,brook,6044943
8875,wives,6031432
8890,xerox,6022102
8906,sorts,6005834
8908,vsnet,6005064
8912,papua,6002552
8915,armor,6001844
8949,viral,5969493
8951,pipes,5966191
8953,laden,5964620
8954,aruba,5964318
8957,merge,5961585
8959,edgar,5959034
8963,dubai,5952494
8975,allan,5945293
8978,sperm,5944531
8981,filme,5943984
8982,craps,5943974
8984,frost,5940685
8990,sally,5933047
8991,yacht,5932756
8992,tracy,5931717
9001,whale,5928569
9026,shark,5904454
9034,grows,5899321
9035,cliff,5898886
9037,tract,5897046
9050,shine,5881862
9055,wendy,5873301
9058,diffs,5870429
9061,ozone,5865280
9071,pasta,5855460
9074,serum,5854942
9076,swift,5850031
9079,inbox,5845223
9080,focal,5844761
9095,samba,5838327
9116,wound,5820050
9117,belle,5820002
9129,cindy,5809307
9136,lined,5802278
9161,boxed,5778226
9165,cubic,5774261
9187,spies,5756937
9192,elect,5748899
9202,bunny,5730050
9203,chevy,5729809
9208,tions,5726510
9217,flyer,5718564
9233,baths,5707960
9249,emacs,5697594
9250,climb,5697476
9262,sparc,5686425
9265,dover,5683356
9276,token,5672353
9292,kinda,5660928
9297,dylan,5656291
9299,belts,5651790
9304,burke,5646090
9318,clara,5633877
9329,flush,5625285
9333,hayes,5621719
9344,moses,5615802
9349,johns,5610302
9356,jewel,5603871
9357,teddy,5602073
9370,dryer,5592001
9374,ruled,5589851
9378,funky,5587279
9384,joins,5578553
9391,scary,5571680
9393,mpegs,5569576
9399,cakes,5565500
9405,mixer,5558245
9409,sbjct,5554566
9413,tooth,5551049
9417,stays,5547528
9420,drove,5545848
9422,upset,5544484
9426,mines,5542234
9429,logan,5539308
9458,lance,5509634
9475,colon,5494297
9477,lanes,5489762
9478,purse,5488891
9492,align,5478643
9494,bless,5477461
9497,crest,5477034
9509,alloy,5468839
9511,plots,5466589
9516,tulsa,5463904
9518,casey,5462971
9520,draws,5458448
9523,bloom,5456938
9534,loops,5439483
9535,surge,5436623
9539,tahoe,5433564
9556,souls,5416970
9558,spank,5416004
9566,vault,5408483
9575,wires,5401677
9578,mails,5397230
9583,blake,5393654
9590,orbit,5389062
9592,niger,5388602
9593,bacon,5385205
9606,paxil,5372013
9607,spine,5370074
9608,trout,5369048
9616,apnic,5363789
9617,fatty,5363547
9628,joyce,5353720
9647,marco,5331228
9660,isaac,5321504
9661,oxide,5321340
9699,badly,5290145
9715,scoop,5272369
9722,sanyo,5265648
9729,blink,5257629
9732,carlo,5253391
9737,tiles,5251527
9743,tamil,5245277
9747,fuzzy,5241931
9749,grams,5240826
9767,forge,5226805
9769,dense,5225392
9771,brave,5221356
9774,awful,5217370
9788,meyer,5207400
9801,whore,5199489
9804,wagon,5198530
9809,knock,5196013
9819,peers,5188853
9824,quilt,5187075
9841,notre,5174371
9853,mambo,5164902
9856,flour,5162842
9861,choir,5156247
9864,blond,5155053
9875,burst,5147573
9882,wiley,5141610
9891,fibre,5134463
9907,daisy,5124326
9919,crude,5119129
9928,bored,5114852
9950,allah,5096394
9954,fares,5093799
9959,hoped,5086531
9961,safer,5085040
9978,marsh,5073104
9979,ricky,5071881
9982,theta,5070673
9991,stake,5061965
9996,arbor,5057261
10007,rifle,5047417
10035,bulbs,5028440
10049,waist,5013500
10057,sewer,5008805
10060,bosch,5007744
10068,vitro,5000420
10075,hyatt,4995940
10084,romeo,4990395
10089,turks,4986307
10091,demos,4984806
10096,sided,4982500
10106,cuban,4974134
10119,resin,4966700
10126,linen,4960413
10130,seals,4958012
